Frame,Speed,Altitude,Time,Distance,Acceleration
264,13,0.0,6.41,27.729999999999997,2.941176470588229
265,13,0.0,6.44,28.12,2.941176470588229
266,13,0.0,6.47,28.50999999999999,2.941176470588229
267,13,0.0,6.51,29.02999999999999,2.941176470588229
268,13,0.0,6.54,29.419999999999995,2.941176470588229
269,13,0.0,6.57,29.81,2.941176470588229
270,14,0.0,6.61,30.369999999999997,3.3333333333333353
271,14,0.0,6.64,30.78999999999999,3.3333333333333353
272,14,0.0,6.67,31.209999999999994,3.3333333333333353
273,14,0.0,6.71,31.769999999999996,3.3333333333333353
274,14,0.0,6.74,32.19,3.3333333333333353
275,14,0.0,6.77,32.609999999999985,3.3333333333333353
276,14,0.0,6.81,33.16999999999999,3.3333333333333353
277,14,0.0,6.84,33.58999999999999,3.3333333333333353
278,14,0.0,6.87,34.00999999999999,3.3333333333333353
279,15,0.0,6.91,34.60999999999999,3.3333333333333353
280,15,0.0,6.94,35.059999999999995,3.3333333333333353
281,15,0.0,6.97,35.509999999999984,3.3333333333333353
282,15,0.0,7.01,36.109999999999985,3.3333333333333353
283,15,0.0,7.04,36.55999999999999,3.3333333333333353
284,15,0.0,7.07,37.00999999999999,3.3333333333333353
285,15,0.0,7.11,37.60999999999999,3.3333333333333353
286,15,0.0,7.14,38.05999999999998,3.3333333333333353
287,15,0.0,7.17,38.509999999999984,3.3333333333333353
288,16,0.0,7.21,39.149999999999984,3.3333333333333353
289,16,0.0,7.24,39.62999999999999,3.3333333333333353
290,16,0.0,7.27,40.10999999999998,3.3333333333333353
291,16,0.0,7.31,40.74999999999998,3.3333333333333353
292,16,0.0,7.34,41.22999999999998,3.3333333333333353
293,16,0.0,7.37,41.70999999999999,3.3333333333333353
294,16,0.0,7.41,42.34999999999999,3.3333333333333353
295,16,0.0,7.44,42.82999999999999,3.3333333333333353
296,16,0.0,7.47,43.30999999999998,3.3333333333333353
297,17,0.0,7.51,43.98999999999998,3.3333333333333353
298,17,0.0,7.54,44.499999999999986,3.3333333333333353
299,17,0.0,7.57,45.00999999999999,3.3333333333333353
300,17,0.0,7.61,45.68999999999999,3.3333333333333353
301,17,0.0,7.64,46.19999999999998,3.3333333333333353
302,17,0.0,7.67,46.70999999999999,3.3333333333333353
303,17,0.0,7.71,47.389999999999986,3.3333333333333353
304,17,0.0,7.74,47.89999999999999,3.3333333333333353
305,17,0.0,7.77,48.40999999999998,3.3333333333333353
306,18,0.0,7.81,49.12999999999998,3.846153846153836
307,18,0.0,7.84,49.66999999999999,3.846153846153836
308,18,0.0,7.87,50.209999999999994,3.846153846153836
309,18,0.0,7.91,50.92999999999999,3.846153846153836
310,18,0.0,7.94,51.47,3.846153846153836
311,18,0.0,7.97,52.00999999999999,3.846153846153836
312,18,0.0,8.01,52.72999999999999,3.846153846153836
313,18,0.0,8.04,53.26999999999998,3.846153846153836
314,19,0.0,8.07,53.84,3.333333333333345
315,19,0.0,8.11,54.59999999999999,3.333333333333345
316,19,0.0,8.14,55.17000000000001,3.333333333333345
317,19,0.0,8.17,55.739999999999995,3.333333333333345
318,19,0.0,8.21,56.500000000000014,3.333333333333345
319,19,0.0,8.24,57.07,3.333333333333345
320,19,0.0,8.27,57.639999999999986,3.333333333333345
321,19,0.0,8.31,58.400000000000006,3.333333333333345
322,19,0.0,8.34,58.96999999999999,3.333333333333345
323,20,0.0,8.37,59.56999999999998,3.703703703703685
324,20,0.0,8.41,60.37,3.703703703703685
325,20,0.0,8.44,60.969999999999985,3.703703703703685
326,20,0.0,8.47,61.57000000000001,3.703703703703685
327,20,0.0,8.51,62.36999999999999,3.703703703703685
328,20,0.0,8.54,62.96999999999998,3.703703703703685
329,20,0.0,8.57,63.57,3.703703703703685
330,20,0.0,8.61,64.36999999999998,3.703703703703685
331,21,0.0,8.64,65.0,3.7037037037037095
332,21,0.0,8.67,65.62999999999998,3.7037037037037095
333,21,0.0,8.71,66.47,3.7037037037037095
334,21,0.0,8.74,67.09999999999998,3.7037037037037095
335,21,0.0,8.77,67.72999999999996,3.7037037037037095
336,21,0.0,8.81,68.56999999999998,3.7037037037037095
337,21,0.0,8.84,69.19999999999996,3.7037037037037095
338,21,0.0,8.87,69.82999999999994,3.7037037037037095
339,22,0.0,8.91,70.70999999999997,3.8461538461538494
340,22,0.0,8.94,71.36999999999995,3.8461538461538494
341,22,0.0,8.97,72.02999999999997,3.8461538461538494
342,22,0.0,9.01,72.90999999999995,3.8461538461538494
343,22,0.0,9.04,73.56999999999994,3.8461538461538494
344,22,0.0,9.07,74.22999999999996,3.8461538461538494
345,22,0.0,9.11,75.10999999999994,3.8461538461538494
346,22,0.0,9.14,75.76999999999997,3.8461538461538494
347,23,0.0,9.17,76.45999999999995,3.225806451612898
348,23,0.0,9.21,77.37999999999997,3.225806451612898
349,23,0.0,9.24,78.06999999999995,3.225806451612898
